Name,Channel,Tier,Latitude,Longitude,DistributorName,CreditTerms
Retailer 001,Modern Trade,Premium,19.0760,72.8777,Distributor North,Net 30
Retailer 002,General Trade,Standard,19.2183,72.9781,Distributor North,Net 15
Retailer 003,Modern Trade,Premium,19.0759,72.8776,Distributor North,Net 30
Retailer 004,General Trade,Standard,19.2182,72.9780,Distributor North,Net 15
Retailer 005,General Trade,Standard,19.2181,72.9779,Distributor North,Net 15
Retailer 006,Modern Trade,Premium,12.9716,77.5946,Distributor South,Net 30
Retailer 007,General Trade,Standard,12.9715,77.5945,Distributor South,Net 15
Retailer 008,General Trade,Standard,12.9714,77.5944,Distributor South,Net 15
Retailer 009,Modern Trade,Premium,22.5726,88.3639,Distributor East,Net 30
Retailer 010,General Trade,Standard,22.5725,88.3638,Distributor East,Net 15
Retailer 011,General Trade,Standard,19.0761,72.8778,Distributor North,Net 15
Retailer 012,Modern Trade,Premium,19.0762,72.8779,Distributor North,Net 30
Retailer 013,General Trade,Standard,19.2184,72.9782,Distributor North,Net 15
Retailer 014,General Trade,Standard,19.2185,72.9783,Distributor North,Net 15
Retailer 015,Modern Trade,Premium,12.9717,77.5947,Distributor South,Net 30
Retailer 016,General Trade,Standard,12.9718,77.5948,Distributor South,Net 15
Retailer 017,General Trade,Standard,12.9719,77.5949,Distributor South,Net 15
Retailer 018,Modern Trade,Premium,22.5727,88.3640,Distributor East,Net 30
Retailer 019,General Trade,Standard,22.5728,88.3641,Distributor East,Net 15
Retailer 020,General Trade,Standard,22.5729,88.3642,Distributor East,Net 15
Retailer 021,Modern Trade,Premium,19.0763,72.8780,Distributor North,Net 30
Retailer 022,General Trade,Standard,19.2186,72.9784,Distributor North,Net 15
Retailer 023,General Trade,Standard,19.2187,72.9785,Distributor North,Net 15
Retailer 024,Modern Trade,Premium,12.9720,77.5950,Distributor South,Net 30
Retailer 025,General Trade,Standard,12.9721,77.5951,Distributor South,Net 15
Retailer 026,General Trade,Standard,12.9722,77.5952,Distributor South,Net 15
Retailer 027,Modern Trade,Premium,22.5730,88.3643,Distributor East,Net 30
Retailer 028,General Trade,Standard,22.5731,88.3644,Distributor East,Net 15
Retailer 029,General Trade,Standard,22.5732,88.3645,Distributor East,Net 15
Retailer 030,Modern Trade,Premium,19.0764,72.8781,Distributor North,Net 30
Retailer 031,General Trade,Standard,19.2188,72.9786,Distributor North,Net 15
Retailer 032,General Trade,Standard,19.2189,72.9787,Distributor North,Net 15
Retailer 033,Modern Trade,Premium,12.9723,77.5953,Distributor South,Net 30
Retailer 034,General Trade,Standard,12.9724,77.5954,Distributor South,Net 15
Retailer 035,General Trade,Standard,12.9725,77.5955,Distributor South,Net 15
Retailer 036,Modern Trade,Premium,22.5733,88.3646,Distributor East,Net 30
Retailer 037,General Trade,Standard,22.5734,88.3647,Distributor East,Net 15
Retailer 038,General Trade,Standard,22.5735,88.3648,Distributor East,Net 15
Retailer 039,Modern Trade,Premium,19.0765,72.8782,Distributor North,Net 30
Retailer 040,General Trade,Standard,19.2190,72.9788,Distributor North,Net 15
Retailer 041,General Trade,Standard,19.2191,72.9789,Distributor North,Net 15
Retailer 042,Modern Trade,Premium,12.9726,77.5956,Distributor South,Net 30
Retailer 043,General Trade,Standard,12.9727,77.5957,Distributor South,Net 15
Retailer 044,General Trade,Standard,12.9728,77.5958,Distributor South,Net 15
Retailer 045,Modern Trade,Premium,22.5736,88.3649,Distributor East,Net 30
Retailer 046,General Trade,Standard,22.5737,88.3650,Distributor East,Net 15
Retailer 047,General Trade,Standard,22.5738,88.3651,Distributor East,Net 15
Retailer 048,Modern Trade,Premium,19.0766,72.8783,Distributor North,Net 30
Retailer 049,General Trade,Standard,19.2192,72.9790,Distributor North,Net 15
Retailer 050,General Trade,Standard,19.2193,72.9791,Distributor North,Net 15
